auto_snapshot_id,gold_snapshot_id,shareholder,comparison_status
AUTO-SNP-014,SNP-014,李剑峰,MATCH
AUTO-SNP-014,SNP-014,福建开京,MATCH
AUTO-SNP-014,SNP-014,沈笑彦,MATCH
AUTO-SNP-014,SNP-014,衣嘉平,MATCH
AUTO-SNP-014,SNP-014,余满芬,MATCH
AUTO-SNP-014,SNP-014,夏东,MATCH
AUTO-SNP-014,SNP-014,崔振南,MATCH
AUTO-SNP-015,SNP-015,曾烨,MATCH
AUTO-SNP-015,SNP-015,刘云锋,MATCH
AUTO-SNP-015,SNP-015,力源信息,MATCH
AUTO-SNP-015,SNP-015,芜湖富海,MATCH
AUTO-SNP-015,SNP-015,国科瑞华,MATCH
AUTO-SNP-015,SNP-015,东方富海,MATCH
AUTO-SNP-015,SNP-015,火炬电子,MATCH
AUTO-SNP-015,SNP-015,为赛咨询,MATCH
AUTO-SNP-015,SNP-015,南山富海,MATCH
AUTO-SNP-015,SNP-015,厦门西堤,MATCH
AUTO-SNP-015,SNP-015,深创投,MATCH
AUTO-SNP-015,SNP-015,鸿迪投资,MATCH
AUTO-SNP-015,SNP-015,天健创投,MATCH
AUTO-SNP-015,SNP-015,CASREV FUND,MATCH
AUTO-SNP-015,SNP-015,周雪峰,MATCH
AUTO-SNP-015,SNP-015,李文发,MATCH
AUTO-SNP-015,SNP-015,中科贵银,MATCH
AUTO-SNP-015,SNP-015,富海节能,MATCH
AUTO-SNP-015,SNP-015,郦韩英,MATCH
AUTO-SNP-015,SNP-015,秦国君,MATCH
AUTO-SNP-015,SNP-015,中小企业基金,MATCH
AUTO-SNP-015,SNP-015,珠海拓域,MATCH
AUTO-SNP-015,SNP-015,镇江红土,MATCH
AUTO-SNP-015,SNP-015,昆山红土,MATCH
AUTO-SNP-015,SNP-015,富海深湾,MATCH
AUTO-SNP-015,SNP-015,湘裕君源,MATCH
AUTO-SNP-015,SNP-015,临港投资,MATCH
AUTO-SNP-015,SNP-015,李剑峰,MATCH
AUTO-SNP-015,SNP-015,福建开京,MATCH
AUTO-SNP-015,SNP-015,余满芬,MATCH
AUTO-SNP-015,SNP-015,沈笑彦,MATCH
AUTO-SNP-015,SNP-015,衣嘉平,MATCH
AUTO-SNP-015,SNP-015,夏东,MATCH
AUTO-SNP-015,SNP-015,崔振南,MATCH
