pdf_page,printed_page,text_char_count,image_count,text_layer_status,parser_used,text_sha256
325,324,903,0,TEXT_AVAILABLE,pymupdf_text,1cfd919a08ef9711478774cbcbd5b6f18cbd413616bffa41223366d54e4d4b76
326,325,1195,0,TEXT_AVAILABLE,pymupdf_text,40304c827a81dd1b3a2bd943627ddc688ee081476102c7241e336f398afd8934
327,326,1153,0,TEXT_AVAILABLE,pymupdf_text,4909dcf827866fa64815ec6cd8af2cddf99a3b725eeacfefd4068ec2c5921a40
328,327,1027,0,TEXT_AVAILABLE,pymupdf_text,486f4e35b1fe545594e53ace1ac0f45484d3ccc006b3b1894ba0bba2188e8d67
329,328,1220,0,TEXT_AVAILABLE,pymupdf_text,bef4cb2367d3ae26178e3138547ae7bd5f2da367eed24f7d3ee1cb0e8803a205
330,329,1056,0,TEXT_AVAILABLE,pymupdf_text,0b6d18723d18de3d6710d01ac207a245a16b383be2900777e2e67deace272758
331,330,1413,0,TEXT_AVAILABLE,pymupdf_text,2a51d6254c4a81c3adb725f8e6286bdabc62997f57f58ba1dc924aa55a9505e9
332,331,1380,0,TEXT_AVAILABLE,pymupdf_text,d9d104a814f4494a9bb0948a603a6e5836f4c793b98c2945493d7f7c3b67fbab
333,332,954,0,TEXT_AVAILABLE,pymupdf_text,ef6646a744d70e5c28193f734db363739cb4872e932e549e9afa474feb1b9541
334,333,1067,0,TEXT_AVAILABLE,pymupdf_text,81dd951f7c6f5552a78f8e4d502312b2efc63327852f4f9b6107927ee6df1284
335,334,1126,0,TEXT_AVAILABLE,pymupdf_text,a242085e171b7addcaa4593fdb65ccbbbee5b52749b5310e754c037eb86224d1
336,335,1085,0,TEXT_AVAILABLE,pymupdf_text,264b8c9818bcc3923947da7be558a60c7d3d4568ab67254a5473bf65843932d5
337,336,1151,0,TEXT_AVAILABLE,pymupdf_text,f50b9977df71de47309e9c94049e9f924a98a6de7296eb5ff17b02e2dd8b4505
338,337,1116,0,TEXT_AVAILABLE,pymupdf_text,7ae031961a02b905714c1cfca64ddefdf678aed4a3926aee89347c58b3fc0a5f
339,338,1228,0,TEXT_AVAILABLE,pymupdf_text,66d242134515218fa65ff949749abfd48843ebce927d69782c45c917943e77cc
340,339,1142,0,TEXT_AVAILABLE,pymupdf_text,ea5dce0716f5be68fbbbafba631068833bddeff99306bc7abdc80ab528776c96
341,340,879,0,TEXT_AVAILABLE,pymupdf_text,4198442cbe9c32690dca5c4efb594119d41b6c16ba3b48d1ec13a675056001e3
342,341,992,0,TEXT_AVAILABLE,pymupdf_text,2a228fb863aedd4907c7a6b388c3aa08f01549043c6fa64b7c2718f81a0fb652
343,342,865,0,TEXT_AVAILABLE,pymupdf_text,c14a650868789ac4f50ed609a1e74065aa83c0e67391d517e73ffc000c0ed3cf
